197 203091844
9 228382851
261 298502058
-328 102906332
187 4174118
464 66716175
438 126997849
314 34079642
350 34261943
224 305002287
-262 289316474
89 154938040
333 52485855
-323 186389153
-232 269029861
-51 288097867
223 1524759
366 51069275
35 256493550
-394 185094941
43 157078529
432 246237473
-18 148891548
120 190158164
380 72231054
-437 151763320
-387 9951516
465 171551976
-104 198588772
-429 55872252
278 259085022
-22 191793090
-213 254132943
58 258905658
-433 22984749
-499 5962835
423 228754242
-436 139371819
216 111305812
455 150526198
-210 138345789
-164 80174015
403 20220657
86 226915006
-374 312185614
166 141646593
435 303736975
356 204074087
-340 237002737
-68 1785370
-326 9153192
357 124203378
-5 43721961
20 61069730
-18 41588642
-459 210998191
-169 3891345
-446 46273409
-362 261264089
-178 154242891
-315 7302476
443 48529112
65 269362013
-487 51469479
-436 46033000
442 104745579
479 58538420
315 87909242
257 65424509
126 83631731
196 290287693
-126 132932300
-152 246476739
-212 40002046
-159 304877391
489 266151422
-252 308382564
274 183275546
-99 5088371
-280 134387863
-144 266741859
20 81052076
91 61333187
263 119112775
61 82063438
194 159763163
-404 179475943
-483 249254605
-266 220467699
-159 208124511
352 149342723
-19 166722330
378 2977878
-70 239036330
488 246409610
-311 11662625
185 28719680
-488 54156254
191 241231288
41 292008521
-406 148772995
278 245319496
338 255532290
-387 276566703
-485 4637269
81 1704249
76 251636659
481 18520872
-78 190149336
-87 301278050
-449 29643041
473 161818933
179 223147446
-217 144884933
-209 131354309
-426 462512
-102 218907959
225 94572832
440 282138300
449 93359925
-125 186093093
-159 22668553
10 29965255
61 188105594
31 306435690
-64 315313801
203 178615874
-319 139834099
-39 221695189
-315 282722348
-482 171666688
15 8582011
-231 103063160
435 38441657
145 182328817
199 19062155
-96 21595396
-62 29445608
-172 116658016
-112 29768687
-356 116732724
-251 209179092
312 25322568
304 10786249
-187 92685362
-332 96505
-330 29672458
177 28967573
129 8358222
-398 124301212
-327 519386
-9 15631353
-75 6762585
-270 234012027
-434 23362962
360 2936357
276 938321
350 1648521
-54 310394827
459 14501234
-212 250731819
-23 198052320
203 19787309
445 79488340
-74 218128166
158 238919390
-29 174256316
184 108942615
477 219239679
24 197879353
-255 66241684
-291 306298573
-157 257661984
124 7049987
194 193011726
459 30317981
135 35927555
491 311295833
320 314325879
136 316875776
346 298754620
29 231262644
-232 212547289
128 165109611
140 255207233
51 249589365
362 14255009
277 184268354
410 80294341
-492 115913977
460 159094768
14 33195494
450 294238089
-301 78147340
455 104768499
-53 168931741
410 13867872
-10 35462970
406 263257015
-88 234667721
52 182729220
298 158911433
403 31214687
-185 16007064
-283 137354991
134 14312543
-21 14231256
-92 211053203
-432 59828202
366 314494528
-204 472713
387 95777767
182 186574163
-343 121294419
-491 104138380
-203 143646791
433 39796955
-51 180167881
-329 307194596
-76 12753922
0 237889242
-271 127432440
338 153449960
362 107354646
-452 118518690
67 88367917
-126 97051645
81 74302047
67 175032750
228 306408394
-109 81884652
-481 84803869
333 121041978
-215 191902669
305 34517487
-280 259296299
-27 273477632
-212 179904118
-236 209538945
-287 185241288
-39 17745878
-229 119628454
-453 147832673
42 48799795
-68 62499873
87 206805699
224 88184535
28 85138509
-469 281429434
-137 1476156
-236 315885589
-252 16668999
118 177318218
246 271445448
180 279632
-457 31203589
-359 319344997
-173 2814241
-476 14394794
-257 53759152
252 73286
-457 1517756
409 174051696
-139 12873358
-90 222933135
109 198516054
-348 19127125
-121 303608475
280 210901636
-155 28017029
-43 117078544
-108 209762514
-255 264801386
18 50753270
181 290475371
86 9138171
237 252171388
-98 296027509
-447 181259819
-193 279737830
-414 108981213
-166 16112476
3 201499743
-89 168692045
341 26776620
-190 164193320
434 297156829
-146 233406521
-198 28145553
88 26973725
